ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
Laptop Gigabyte Gaming A16 CTHI3VN893SH (i7-13620H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Gigabyte,Core i3,16.0,512.0,NVIDIA Card Rời,33990000,0,0,0,0
Laptop Gigabyte Gaming A16 CWHI3VNC94SH (i7-13620H/ GeForce RTX™ 5070/ 16GB/ 1TB/ Win 11 Home SL),Gigabyte,Core i3,16.0,1024.0,NVIDIA Card Rời,43990000,0,0,0,0
Laptop Gigabyte Gaming A16 CVHI3VNC94SH (i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Win 11 Home SL),Gigabyte,Core i3,16.0,1024.0,NVIDIA Card Rời,38490000,0,0,0,0
Laptop HP 14 ep1178TU - C89ZRPA (Core 5 120U/ 16GB/ 1TB/ Win 11 Home SL),Hp,Core i5,16.0,1024.0,Onboard,19690000,0,0,0,0
Laptop HP 14 ep1137TU - C2CY8PA (Ultra 7-155H/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 7,16.0,512.0,Onboard,24590000,0,0,0,0
Laptop Msi Cyborg 15 A13UC-2088VN (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i5,16.0,512.0,NVIDIA Card Rời,28690000,0,0,0,0
Laptop Msi Cyborg 15 B13WFKG-658VN (Core i7-13620H/ GeForce RTX™ 5060/ 16GB/ 1TB/ Win 11 Home),Msi,Core i7,16.0,1024.0,NVIDIA Card Rời,40490000,0,0,0,0
Laptop Msi Cyborg 15 A13VEK-2089VN (Core i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i7,16.0,512.0,NVIDIA Card Rời,33990000,0,0,0,0
Laptop Msi Cyborg 15 B13WEKG-676VN (i5-13420H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Msi,Core i5,16.0,512.0,NVIDIA Card Rời,37490000,0,0,0,0
Laptop Dell Pro 14 Plus PB14250-235U-16512W (Ultra 5-235U/ 16GB/ 512GB/ Win 11 Home SL),Dell,Core Ultra 5,16.0,512.0,Onboard,34990000,0,0,0,0
Laptop Lenovo Legion 5 15IRX10 - 83LY00HRVN (i7-13650HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL + Office),Lenovo,Core i7,16.0,512.0,NVIDIA Card Rời,40990000,0,0,0,0
Laptop Acer Gaming Nitro V 15 - ANV15-41-R732 (Ryzen 5 6600H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 5,16.0,512.0,NVIDIA Card Rời,28990000,0,0,0,0
Laptop Asus TUF Gaming F16 FX607VJB-RL151W (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16.0,512.0,NVIDIA Card Rời,24990000,0,0,0,0
Laptop HP 15-fc0656AU - C81NHPA (Ryzen 5 7430U/ 16GB/ 512GB/ Win 11 Home),Hp,Ryzen 5,16.0,512.0,AMD Card Rời,16090000,0,0,0,0
Laptop HP Elitebook X Flip G1i - B9FN2PT (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro),Hp,Core Ultra 7,32.0,1024.0,Onboard,57990000,0,0,0,0
Laptop HP ProBook 4 G1i - BQ5B4PT (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 5,16.0,512.0,Onboard,28990000,0,0,0,0
Laptop HP OmniBook 7 16-az0038TU - C2CX1PA (Core 5 210H/ 24GB/ 512GB/ Win 11 Home SL + Office),Hp,Core i5,24.0,512.0,Onboard,27590000,0,0,0,0
Laptop HP EliteBook 6 G1i - BQ9N5PT (Ultra 7-265U/ 16GB/ 512GB/ Win 11 Pro),Hp,Core Ultra 7,16.0,512.0,Onboard,40290000,0,0,0,0
Laptop HP EliteBook 6 G1i - BQ9N0PT (Ultra 5-235U/ 16GB/ 512GB/ Win 11 Pro),Hp,Core Ultra 5,16.0,512.0,Onboard,34690000,0,0,0,0
