ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Laptop Acer Nitro ProPanel AN16S-61-R5F4 (Ryzen AI 7 350/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 5,16,512,NVIDIA Card Rời,52990000
Laptop Dell 15 DC15250 - CPH997 (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office),Dell,Core i7,16,1024,Onboard,22490000
"Laptop Lenovo LOQ 15ARP9 - 83JC00M3VN (Ryzen 5 7235HS/ GeForce RTX™ 3050/ 16GB/ 1TB/ Win 11 Home SL, English)",Lenovo,Ryzen 5,16,1024,NVIDIA Card Rời,29490000
"Laptop Lenovo LOQ 15ARP9 - 83JC00LVVN (Ryzen 5 7235HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL, English)",Lenovo,Ryzen 5,16,512,NVIDIA Card Rời,27490000
Laptop Acer Aspire Lite AL15-42P-R08M (Ryzen 7 7730U/ 16GB/ 512GB/ Win 11 Home SL + Office),Acer,Ryzen 7,16,512,AMD Card Rời,17490000
Laptop HP Omen 16-am0178TX - BX8Y4PA (Ultra 5-225H/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 5,16,512,NVIDIA Card Rời,40990000
Laptop HP OmniBook 7 Aero 13-bg1085AU - BZ7U6PA (Ryzen AI 7 350/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 7,16,512,AMD Card Rời,31190000
Laptop HP OmniBook 5 16-ag1068AU - BZ7T0PA (Ryzen AI 5 340/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 5,16,512,AMD Card Rời,26190000
Laptop HP OmniBook 7 14-fr0033TU - C1MN2PA (Ultra 5-225U/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Core Ultra 5,16,512,Onboard,26490000
Laptop HP OmniBook 7 Aero 13-bg1083AU - BZ7R9PA (Ryzen AI 7 350/ 32GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 7,32,512,AMD Card Rời,32490000
Laptop HP OmniBook 5 16-ag1067AU - BZ7U5PA (Ryzen AI 7 350/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 7,16,512,AMD Card Rời,28190000
Laptop HP OmniBook 7 Aero 13-bg1087AU - BZ7S1PA (Ryzen AI 5 340/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Hp,Ryzen 5,16,512,AMD Card Rời,27790000
Laptop HP Omen 16-am0180TX - BX8Y6PA (Ultra 5-225H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Core Ultra 5,16,512,NVIDIA Card Rời,37990000
Laptop Asus ExpertBook P5 P5405CSA-NZ0016W (Ultra 5-226V/ 16GB/ 512GB/ Win 11 Home),Asus,Core Ultra 5,16,512,Onboard,29990000
Laptop Acer Nitro ProPanel ANV16S-61-R9ZV (Ryzen AI 7 350/ GeForce RTX™ 5060/ 32GB/ 1TB/ Win 11 Home SL),Acer,Ryzen 7,32,1024,NVIDIA Card Rời,55990000
Laptop Acer Nitro ProPanel ANV16S-61-R0B8 (Ryzen AI 5 340/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 5,16,512,NVIDIA Card Rời,44990000
Laptop Dell 15 DC15255 - X9YM41 (Ryzen 7 7730U/ 16GB/ 1TB/ Win 11 Home SL + Office),Dell,Ryzen 7,16,1024,AMD Card Rời,21490000
Laptop Lenovo Yoga Slim 7-14IMH9 - 83CV00D8VN (Ultra 5-125H/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Lenovo,Core Ultra 5,16,1024,Onboard,26990000
Laptop Lenovo LOQ 15AHP10 - 83JG0047VN (Ryzen 7 250/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Hp,Ryzen 7,16,512,NVIDIA Card Rời,36490000
Laptop Dell 15 DC15250 - 71071928 (i5-1334U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i5,16,512,Onboard,18490000
Laptop Lenovo Thinkpad X9-15 Gen 1 - 21Q60055VN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,32,1024,Onboard,56890000
Laptop Lenovo ThinkPad T14s Gen 6 - 21R10008VN (Ultra 7-255H/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 7,32,1024,Onboard,51290000
Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006HVN (Ultra 5-228V/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 5,32,1024,Onboard,50790000
Laptop Lenovo ThinkPad X1 Carbon Gen 13 - 21NX003DVN (Ultra 5-225H/ 16GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 5,16,1024,Onboard,49790000
Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006GVN (Ultra 5-228V/ 32GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 5,32,1024,Onboard,46790000
Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006EVN (Ultra 5-226V/ 16GB/ 1TB/ Win 11 Pro),Lenovo,Core Ultra 5,16,1024,Onboard,44690000
Laptop Asus ROG Zephyrus G14 GA403WP-QS045WS (Ryzen AI 9 HX 370/ GeForce RTX™ 5070/ 32GB/ 1TB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 9,32,1024,NVIDIA Card Rời,61990000
Laptop Asus TUF Gaming A15 FA506NCG-HN184W (Ryzen 7 7445HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Asus,Ryzen 7,16,512,NVIDIA Card Rời,22490000
Laptop Asus ROG Strix G16 G615LR-S5289W (Ultra 7-255HX/ GeForce RTX™ 5070Ti/ 16GB/ 1TB/ Win 11 Home),Asus,Core Ultra 7,16,1024,NVIDIA Card Rời,57990000
Laptop Dell DC15255 - DC5R5802W1 (Ryzen 5 7530U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Ryzen 5,16,512,AMD Card Rời,16990000
