ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Razer Blade 15 i7-10875H RTX 2070 SUPER 16GB/512GB,Khác,Core i7,16,512,NVIDIA Card Rời,15890000
Dell Latitude 7420 i7 Gen 11 16G-256G màn 14in,Dell,Core i7,16,256,Onboard,8500000
Dell Latitude 5500 i7-8665U 15.6 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,5890000
Dell Precision 3470 i5-1250P 14 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,9600000
HP 650 G9 i5 Gen 12 8GB/256GB,Hp,Core i5,8,256,Onboard,11500000
Macbook Pro 13inch 2019 Core i5 Ram 8Gb SSD 256Gb,Apple,Core i5,8,256,Apple GPU,9500000
Dell Precision 7550 i7-10750H 15.6 inch 16GB/512GB,Dell,Core i7,16,512,Onboard,12900000
Dell 3410 cor i5 thế hệ 10 ram 16g ssd 256g mới 95,Dell,Core i5,16,256,Onboard,7000000
ASUS Vivobook K3605ZF i5-12500H 16GB/512GB,Asus,Core i5,16,512,Onboard,12500000
ThinkPad E15 G3 R5-5500U - SSD 256GB - RAM 16GB,Khác,Ryzen 5,16,256,Onboard,6000000
Dell Latitude 5430 i7-12550 14 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,8600000
Dell đời mới 55 i5-1245U 13.3 inch 16GB/256GB,Dell,Core i5,16,256,Onboard,7200000
HP Pavilion 15 i5-1135G7 15.6 inch 8GB/256GB,Hp,Core i5,8,256,Onboard,9900000
"HP 15EG i7-1255U 15.6 inch 8GB/512GB, Vga Rời",Hp,Core i7,8,512,Onboard,10900000
Dell Latitude 5400 i7-8665U 14 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,7600000
Dell Precision 5540 i7-9850H 15.6 inch 16GB/256GB,Dell,Core i7,16,256,Onboard,10000000
ASUS TUF Gaming F15 i7-10870H 15.6 inch 16GB/512GB,Asus,Core i7,16,512,Onboard,11800000
Dell 7420 2in1 (i7 1185G7 / 16G / 256G / X360),Dell,Core i7,16,256,Onboard,10200000
Dell Precision 5570 i9-12900H 32GB 1TB RTX A2000,Dell,Core i9,32,1024,Onboard,29500000
Dell Latitude 5400 i7-8665U 14 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,5500000
Asus Vivobook A415EA i5 14 inch 8GB/512GB,Asus,Core i5,8,512,Onboard,7000000
